TransactionID,PropertyID,ClientID,SalePrice,SaleDate,PaymentMethod
1001,1,201,190000,2024-01-15,"Wire Transfer"
1002,4,204,310000,2024-01-20,"Mortgage"
1003,7,205,590000,2024-01-25,"Wire Transfer"
1004,2,211,290000,2024-02-01,"Cash"
1005,6,203,490000,2024-02-05,"Mortgage"
1006,5,209,495000,2024-02-10,"Wire Transfer"
1007,10,207,510000,2024-02-15,"Cash"
1008,3,212,440000,2024-02-18,"Mortgage"
1009,8,208,730000,2024-02-22,"Wire Transfer"
1010,9,206,200000,2024-02-27,"Cash"
1011,11,202,200000,2024-03-01,"Mortgage"
1012,16,213,770000,2024-03-05,"Wire Transfer"
1013,14,215,600000,2024-03-08,"Cash"
1014,17,219,540000,2024-03-10,"Mortgage"
1015,13,202,450000,2024-03-15,"Wire Transfer"
1016,20,218,220000,2024-03-18,"Cash"
1017,21,203,300000,2024-03-22,"Wire Transfer"
1018,25,210,280000,2024-03-25,"Mortgage"
1019,22,214,610000,2024-03-28,"Cash"
1020,19,209,680000,2024-04-01,"Wire Transfer"
1021,27,224,210000,2024-04-05,"Mortgage"
1022,28,228,410000,2024-04-07,"Wire Transfer"
1023,30,229,790000,2024-04-10,"Cash"
1024,12,201,300000,2024-04-12,"Mortgage"
1025,18,223,330000,2024-04-15,"Wire Transfer"
1026,29,226,550000,2024-04-18,"Cash"
1027,24,207,760000,2024-04-20,"Mortgage"
1028,15,230,310000,2024-04-25,"Wire Transfer"
1029,26,219,620000,2024-04-28,"Cash"
1030,23,202,470000,2024-04-30,"Mortgage"
